Resulting f_r values for the distribution of N = [2,1000] 
points on a single sphere with radius r = 1.
Values for f_r^N as well as the normalized value f_r^N,norm are given.
See publication JCC for further information.


N  f_r^N            f_r^N,norm

2  1.00000000184  0.500000000918
3  3.46410162147  1.15470054049
4  7.34846922577  1.83711730644
5  12.9493830109  2.58987660217
6  19.9705627976  3.32842713293
7  28.9081269015  4.1297324145
8  39.3535523047  4.91919403808
9  51.5199861855  5.72444290949
10  65.4350597389  6.54350597389
11  81.1977042164  7.38160947422
12  98.3305062512  8.19420885427
13  117.707591781  9.05443013701
14  138.620702758  9.9014787684
15  161.344631743  10.7563087829
16  185.831717614  11.6144823509
17  212.102466119  12.476615654
18  240.170845133  13.3428247296
19  270.18803569  14.2204229311
20  301.769349392  15.0884674696
21  335.284675348  15.9659369213
22  370.579572241  16.844526011
23  407.869949695  17.7334760737
24  446.699407447  18.6124753103
25  487.632246336  19.5052898534
26  530.275069595  20.3951949844
27  574.607434998  21.2817568518
28  620.987254047  22.178116216
29  669.279686027  23.078609863
30  719.216424892  23.9738808297
31  771.067938857  24.873159318
32  824.522551064  25.7663297208
33  880.414008625  26.6792123826
34  937.821701897  27.5829912323
35  997.156851307  28.4901957516
36  1058.25442184  29.3959561622
37  1121.2679724  30.3045397946
38  1186.08389855  31.2127341724
39  1252.79102149  32.1228467048
40  1321.46081657  33.0365204143
41  1391.84348307  33.947402026
42  1464.16510626  34.8610739586
43  1538.39102273  35.7765354124
44  1614.34874863  36.6897442869
45  1692.38352902  37.6085228672
46  1772.36808127  38.5297408973
47  1854.13468641  39.449674179
48  1937.43321174  40.3631919112
49  2023.12630864  41.2882920131
50  2110.3793899  42.2075877979
51  2199.65149538  43.130421478
52  2290.85688355  44.0549400683
53  2383.86304453  44.97854801
54  2478.73961167  45.9025854012
55  2575.56558264  46.8284651389
56  2674.20756639  47.7537065427
57  2774.78262121  48.6803968634
58  2877.27577331  49.6082029881
59  2981.56410067  50.5349847572
60  3087.68933644  51.4614889407
61  3195.92291083  52.392178866
62  3305.83417296  53.3199060154
63  3417.77343672  54.2503720115
64  3531.63181552  55.1817471175
65  3647.43085281  56.1143208125
66  3764.90226841  57.0439737638
67  3884.26007241  57.9740309315
68  4005.78657506  58.9086261039
69  4129.09208162  59.8419142264
70  4254.22252384  60.7746074834
71  4381.31819112  61.7087069171
72  4510.0132224  62.6390725334
73  4641.29000473  63.5793151333
74  4774.20234782  64.5162479435
75  4908.77210873  65.4502947831
76  5045.46088558  66.3876432314
77  5183.71885293  67.321024064
78  5324.16644021  68.2585441052
79  5466.51623432  69.1964080293
80  5610.72649484  70.1340811855
81  5757.06751995  71.0749076537
82  5905.25782014  72.01533927
83  6055.08075337  72.952780161
84  6206.99740091  73.8928262013
85  6360.79433567  74.8328745373
86  6516.50643745  75.773330668
87  6674.04759173  76.7131907095
88  6833.47062752  77.6530753127
89  6994.91187652  78.5945154665
90  7158.29410475  79.5366011639
91  7323.52101895  80.4782529555
92  7490.81536409  81.4219061314
93  7659.92119951  82.3647440807
94  7830.65476196  83.3048378931
95  8003.64784221  84.2489246549
96  8178.37939067  85.1914519861
97  8355.1302833  86.1353637453
98  8533.67455865  87.0783118229
99  8714.37332457  88.0239729755
100  8896.73025544  88.9673025544
101  9081.21830909  89.9130525653
102  9267.51030949  90.8579442107
103  9455.78181829  91.8037069737
104  9646.14053551  92.751351303
105  9838.11621937  93.6963449464
106  10032.2927542  94.6442712656
107  10228.0089229  95.588868438
108  10425.6634082  96.5339204461
109  10625.7414997  97.4838669701
110  10827.1359292  98.4285084472
111  11030.6311933  99.3750557951
112  11236.1605465  100.322862022
113  11443.8635812  101.273129038
114  11653.2581859  102.221563034
115  11864.4864822  103.169447671
116  12077.9775883  104.120496451
117  12292.9114395  105.067619141
118  12510.0664327  106.017512141
119  12728.8195585  106.964870239
120  12949.7318882  107.914432402
121  13172.5042277  108.863671303
122  13397.5917993  109.816326224
123  13623.9787348  110.764054755
124  13852.3953442  111.712865679
125  14083.1241023  112.664992818
126  14315.6161005  113.616000797
127  14550.0119059  114.567022881
128  14786.2001413  115.517188604
129  15024.4058492  116.468262397
130  15264.5417518  117.419551937
131  15506.5301655  118.370459278
132  15750.4671379  119.321720741
133  15996.5117755  120.274524628
134  16244.6976444  121.229086898
135  16494.2367225  122.179531277
136  16745.712389  123.130238154
137  16999.6716387  124.085194443
138  17255.3555311  125.038808196
139  17512.5373545  125.989477371
140  17772.2110299  126.944364499
141  18033.5303133  127.897378109
142  18297.01941  128.852249366
143  18561.8513746  129.803156466
144  18829.2275537  130.758524679
145  19098.797587  131.715845428
146  19369.0127586  132.66447095
147  19642.1256574  133.619902431
148  19916.8864251  134.573556926
149  20193.9024654  135.529546748
150  20472.4447387  136.482964924
151  20753.5055256  137.440433944
152  21036.2074245  138.396101477
153  21320.8107977  139.35170456
154  21606.8410388  140.30416259
155  21895.4053682  141.260679795
156  22185.7299733  142.216217778
157  22478.0701236  143.172421169
158  22772.3029975  144.128499984
159  23068.4984622  145.084895988
160  23366.593767  146.041211043
